year,month,day,enso
1979,4,1,0.28
1979,5,1,0.23
1979,6,1,0.05
1979,7,1,0.04
1979,8,1,0.17
1979,9,1,0.33
1979,10,1,0.45
1979,11,1,0.52
1979,12,1,0.64
1980,1,1,0.59
1980,2,1,0.46
1980,3,1,0.34
1980,4,1,0.38
1980,5,1,0.48
1980,6,1,0.46
1980,7,1,0.25
1980,8,1,0.03
1980,9,1,-0.07
1980,10,1,0.02
1980,11,1,0.11
1980,12,1,-0.01
1981,1,1,-0.26
1981,2,1,-0.5
1981,3,1,-0.47
1981,4,1,-0.37
1981,5,1,-0.26
1981,6,1,-0.29
1981,7,1,-0.3
1981,8,1,-0.25
1981,9,1,-0.16
1981,10,1,-0.13
1981,11,1,-0.15
1981,12,1,-0.08
1982,1,1,-0.05
1982,2,1,0.07
1982,3,1,0.19
1982,4,1,0.47
1982,5,1,0.66
1982,6,1,0.72
1982,7,1,0.79
1982,8,1,1.07
1982,9,1,1.58
1982,10,1,1.97
1982,11,1,2.18
1982,12,1,2.23
1983,1,1,2.18
1983,2,1,1.92
1983,3,1,1.54
1983,4,1,1.29
1983,5,1,1.06
1983,6,1,0.72
1983,7,1,0.31
1983,8,1,-0.08
1983,9,1,-0.46
1983,10,1,-0.81
1983,11,1,-1
1983,12,1,-0.91
1984,1,1,-0.6
1984,2,1,-0.42
1984,3,1,-0.34
1984,4,1,-0.43
1984,5,1,-0.51
1984,6,1,-0.45
1984,7,1,-0.3
1984,8,1,-0.16
1984,9,1,-0.24
1984,10,1,-0.56
1984,11,1,-0.92
1984,12,1,-1.14
1985,1,1,-1.04
1985,2,1,-0.85
1985,3,1,-0.77
1985,4,1,-0.78
1985,5,1,-0.78
1985,6,1,-0.63
1985,7,1,-0.49
1985,8,1,-0.46
1985,9,1,-0.4
1985,10,1,-0.35
1985,11,1,-0.27
1985,12,1,-0.36
1986,1,1,-0.49
1986,2,1,-0.47
1986,3,1,-0.31
1986,4,1,-0.2
1986,5,1,-0.12
1986,6,1,-0.04
1986,7,1,0.22
1986,8,1,0.44
1986,9,1,0.71
1986,10,1,0.94
1986,11,1,1.14
1986,12,1,1.22
1987,1,1,1.23
1987,2,1,1.19
1987,3,1,1.06
1987,4,1,0.95
1987,5,1,0.97
1987,6,1,1.22
1987,7,1,1.51
1987,8,1,1.7
1987,9,1,1.65
1987,10,1,1.48
1987,11,1,1.25
1987,12,1,1.11
1988,1,1,0.81
1988,2,1,0.54
1988,3,1,0.14
1988,4,1,-0.31
1988,5,1,-0.88
1988,6,1,-1.3
1988,7,1,-1.3
1988,8,1,-1.11
1988,9,1,-1.19
1988,10,1,-1.48
1988,11,1,-1.8
1988,12,1,-1.85
1989,1,1,-1.69
1989,2,1,-1.43
1989,3,1,-1.08
1989,4,1,-0.83
1989,5,1,-0.58
1989,6,1,-0.4
1989,7,1,-0.31
1989,8,1,-0.27
1989,9,1,-0.24
1989,10,1,-0.22
1989,11,1,-0.16
1989,12,1,-0.05
1990,1,1,0.14
1990,2,1,0.21
1990,3,1,0.28
1990,4,1,0.29
1990,5,1,0.29
1990,6,1,0.31
1990,7,1,0.33
1990,8,1,0.38
1990,9,1,0.39
1990,10,1,0.35
1990,11,1,0.4
1990,12,1,0.41
1991,1,1,0.41
1991,2,1,0.26
1991,3,1,0.22
1991,4,1,0.26
1991,5,1,0.45
1991,6,1,0.64
1991,7,1,0.73
1991,8,1,0.64
1991,9,1,0.62
1991,10,1,0.79
1991,11,1,1.21
1991,12,1,1.53
1992,1,1,1.71
1992,2,1,1.63
1992,3,1,1.48
1992,4,1,1.29
1992,5,1,1.06
1992,6,1,0.73
1992,7,1,0.37
1992,8,1,0.09
1992,9,1,-0.13
1992,10,1,-0.25
1992,11,1,-0.28
1992,12,1,-0.13
1993,1,1,0.09
1993,2,1,0.3
1993,3,1,0.5
1993,4,1,0.67
1993,5,1,0.7
1993,6,1,0.57
1993,7,1,0.32
1993,8,1,0.25
1993,9,1,0.15
1993,10,1,0.1
1993,11,1,0.04
1993,12,1,0.06
1994,1,1,0.06
1994,2,1,0.07
1994,3,1,0.17
1994,4,1,0.31
1994,5,1,0.42
1994,6,1,0.41
1994,7,1,0.44
1994,8,1,0.43
1994,9,1,0.55
1994,10,1,0.74
1994,11,1,1.01
1994,12,1,1.09
1995,1,1,0.96
1995,2,1,0.72
1995,3,1,0.53
1995,4,1,0.3
1995,5,1,0.14
1995,6,1,-0.03
1995,7,1,-0.24
1995,8,1,-0.54
1995,9,1,-0.81
1995,10,1,-0.97
1995,11,1,-1
1995,12,1,-0.98
1996,1,1,-0.9
1996,2,1,-0.75
1996,3,1,-0.59
1996,4,1,-0.39
1996,5,1,-0.31
1996,6,1,-0.3
1996,7,1,-0.27
1996,8,1,-0.32
1996,9,1,-0.35
1996,10,1,-0.4
1996,11,1,-0.45
1996,12,1,-0.49
1997,1,1,-0.5
1997,2,1,-0.36
1997,3,1,-0.1
1997,4,1,0.28
1997,5,1,0.75
1997,6,1,1.22
1997,7,1,1.6
1997,8,1,1.9
1997,9,1,2.14
1997,10,1,2.33
1997,11,1,2.4
1997,12,1,2.39
1998,1,1,2.24
1998,2,1,1.93
1998,3,1,1.44
1998,4,1,0.99
1998,5,1,0.45
1998,6,1,-0.13
1998,7,1,-0.78
1998,8,1,-1.12
1998,9,1,-1.31
1998,10,1,-1.35
1998,11,1,-1.48
1998,12,1,-1.57
1999,1,1,-1.55
1999,2,1,-1.3
1999,3,1,-1.07
1999,4,1,-0.98
1999,5,1,-1.02
1999,6,1,-1.04
1999,7,1,-1.1
1999,8,1,-1.11
1999,9,1,-1.16
1999,10,1,-1.26
1999,11,1,-1.46
1999,12,1,-1.65
2000,1,1,-1.66
2000,2,1,-1.41
2000,3,1,-1.07
2000,4,1,-0.81
2000,5,1,-0.71
2000,6,1,-0.64
2000,7,1,-0.55
2000,8,1,-0.51
2000,9,1,-0.55
2000,10,1,-0.63
2000,11,1,-0.75
2000,12,1,-0.74
2001,1,1,-0.68
2001,2,1,-0.52
2001,3,1,-0.44
2001,4,1,-0.34
2001,5,1,-0.25
2001,6,1,-0.12
2001,7,1,-0.08
2001,8,1,-0.13
2001,9,1,-0.19
2001,10,1,-0.29
2001,11,1,-0.35
2001,12,1,-0.31
2002,1,1,-0.15
2002,2,1,0.03
2002,3,1,0.09
2002,4,1,0.2
2002,5,1,0.43
2002,6,1,0.65
2002,7,1,0.79
2002,8,1,0.86
2002,9,1,1.01
2002,10,1,1.21
2002,11,1,1.31
2002,12,1,1.14
2003,1,1,0.92
2003,2,1,0.63
2003,3,1,0.38
2003,4,1,-0.04
2003,5,1,-0.26
2003,6,1,-0.16
2003,7,1,0.08
2003,8,1,0.21
2003,9,1,0.26
2003,10,1,0.29
2003,11,1,0.35
2003,12,1,0.35
2004,1,1,0.37
2004,2,1,0.31
2004,3,1,0.23
2004,4,1,0.17
2004,5,1,0.17
2004,6,1,0.28
2004,7,1,0.47
2004,8,1,0.64
2004,9,1,0.7
2004,10,1,0.67
2004,11,1,0.66
2004,12,1,0.69
2005,1,1,0.64
2005,2,1,0.58
2005,3,1,0.45
2005,4,1,0.43
2005,5,1,0.29
2005,6,1,0.11
2005,7,1,-0.06
2005,8,1,-0.14
2005,9,1,-0.11
2005,10,1,-0.29
2005,11,1,-0.57
2005,12,1,-0.84
2006,1,1,-0.85
2006,2,1,-0.77
2006,3,1,-0.57
2006,4,1,-0.37
2006,5,1,-0.14
2006,6,1,-0.03
2006,7,1,0.1
2006,8,1,0.3
2006,9,1,0.54
2006,10,1,0.77
2006,11,1,0.94
2006,12,1,0.94
2007,1,1,0.66
2007,2,1,0.22
2007,3,1,-0.12
2007,4,1,-0.32
2007,5,1,-0.38
2007,6,1,-0.47
2007,7,1,-0.56
2007,8,1,-0.81
2007,9,1,-1.07
2007,10,1,-1.34
2007,11,1,-1.5
2007,12,1,-1.6
2008,1,1,-1.64
2008,2,1,-1.52
2008,3,1,-1.29
2008,4,1,-1.01
2008,5,1,-0.84
2008,6,1,-0.61
2008,7,1,-0.37
2008,8,1,-0.23
2008,9,1,-0.24
2008,10,1,-0.35
2008,11,1,-0.55
2008,12,1,-0.73
2009,1,1,-0.85
2009,2,1,-0.79
2009,3,1,-0.61
2009,4,1,-0.33
2009,5,1,0.01
2009,6,1,0.28
2009,7,1,0.45
2009,8,1,0.58
2009,9,1,0.71
2009,10,1,1.01
2009,11,1,1.36
2009,12,1,1.56
2010,1,1,1.5
2010,2,1,1.22
2010,3,1,0.84
2010,4,1,0.35
2010,5,1,-0.17
2010,6,1,-0.66
2010,7,1,-1.05
2010,8,1,-1.35
2010,9,1,-1.56
2010,10,1,-1.64
2010,11,1,-1.64
2010,12,1,-1.59
2011,1,1,-1.42
2011,2,1,-1.19
2011,3,1,-0.93
2011,4,1,-0.73
2011,5,1,-0.55
2011,6,1,-0.44
2011,7,1,-0.48
2011,8,1,-0.62
2011,9,1,-0.83
2011,10,1,-1.01
2011,11,1,-1.09
2011,12,1,-1.04
2012,1,1,-0.86
2012,2,1,-0.72
2012,3,1,-0.59
2012,4,1,-0.47
2012,5,1,-0.26
2012,6,1,-0.01
2012,7,1,0.25
2012,8,1,0.37
2012,9,1,0.37
2012,10,1,0.27
2012,11,1,0.05
2012,12,1,-0.21
2013,1,1,-0.43
2013,2,1,-0.43
2013,3,1,-0.34
2013,4,1,-0.3
2013,5,1,-0.36
2013,6,1,-0.41
2013,7,1,-0.4
2013,8,1,-0.32
2013,9,1,-0.26
2013,10,1,-0.18
2013,11,1,-0.17
2013,12,1,-0.27
2014,1,1,-0.42
2014,2,1,-0.46
2014,3,1,-0.27
2014,4,1,0.04
2014,5,1,0.21
2014,6,1,0.16
2014,7,1,0.05
2014,8,1,0.07
2014,9,1,0.23
2014,10,1,0.49
2014,11,1,0.64
2014,12,1,0.66
2015,1,1,0.55
2015,2,1,0.47
2015,3,1,0.53
2015,4,1,0.7
2015,5,1,0.93
2015,6,1,1.18
2015,7,1,1.52
2015,8,1,1.86
2015,9,1,2.16
2015,10,1,2.42
2015,11,1,2.57
2015,12,1,2.64
2016,1,1,2.48
2016,2,1,2.14
2016,3,1,1.58
2016,4,1,0.94
2016,5,1,0.39
2016,6,1,-0.07
2016,7,1,-0.36
2016,8,1,-0.54
2016,9,1,-0.63
2016,10,1,-0.69
2016,11,1,-0.67
2016,12,1,-0.56
2017,1,1,-0.34
2017,2,1,-0.16
2017,3,1,0.05
2017,4,1,0.2
2017,5,1,0.3
2017,6,1,0.31
2017,7,1,0.14
2017,8,1,-0.11
2017,9,1,-0.38
2017,10,1,-0.65
2017,11,1,-0.84
2017,12,1,-0.97
2018,1,1,-0.92
2018,2,1,-0.85
2018,3,1,-0.7
2018,4,1,-0.5
2018,5,1,-0.22
2018,6,1,-0.01
2018,7,1,0.09
2018,8,1,0.23
2018,9,1,0.49
2018,10,1,0.76
2018,11,1,0.9
2018,12,1,0.81
2019,1,1,0.75
2019,2,1,0.72
2019,3,1,0.71
2019,4,1,0.66
2019,5,1,0.54
2019,6,1,0.45
2019,7,1,0.28
2019,8,1,0.14
2019,9,1,0.19
2019,10,1,0.35
2019,11,1,0.51
2019,12,1,0.55
2020,1,1,0.5
2020,2,1,0.48
2020,3,1,0.4
2020,4,1,0.19
2020,5,1,-0.08
2020,6,1,-0.3
2020,7,1,-0.41
2020,8,1,-0.57
2020,9,1,-0.89
2020,10,1,-1.17
2020,11,1,-1.27
2020,12,1,-1.19
2021,1,1,-1.05
2021,2,1,-0.93
2021,3,1,-0.84
2021,4,1,-0.66
2021,5,1,-0.48
2021,6,1,-0.38
2021,7,1,-0.4
2021,8,1,-0.49
2021,9,1,-0.67
2021,10,1,-0.81
2021,11,1,-0.98
2021,12,1,-0.99
2022,1,1,-0.97
2022,2,1,-0.94
2022,3,1,-1
2022,4,1,-1.07
2022,5,1,-1
2022,6,1,-0.86
2022,7,1,-0.82
2022,8,1,-0.91
2022,9,1,-1.01
2022,10,1,-0.99
2022,11,1,-0.92
2022,12,1,-0.83
2023,1,1,-0.68
2023,2,1,-0.43
2023,3,1,-0.15
2023,4,1,0.16
2023,5,1,0.48
2023,6,1,0.77
2023,7,1,1.07
2023,8,1,1.32
2023,9,1,1.56
2023,10,1,1.78
2023,11,1,1.92
2023,12,1,1.95
2024,1,1,1.79
2024,2,1,1.49
2024,3,1,1.14
2024,4,1,0.75
2024,5,1,0.45
2024,6,1,
